Purchasing Document,Item,Order Type,Vendor,Short Text,Currency,Targ.Val. (Hdr),Released Value,Total Open Value,Validity Per. Start,Validity Period End,Purch. organization,MPN material,Net Price,Price unit,Tax Code,Order Unit,Target Quantity,Qty Released to Date,Open Target Quantity,Purchasing Group,Long Text,Salesperson,Deletion indicator
4100000000,10,MK,100029,MODULE AC 650 352 -&- Power & utility,LKR,0.00,0.00,0.00,3/30/2011,5/10/2011,LK10,1000007702,"38,038.70",1,V4,EA,5,0,5,004,,,
4100000000,20,MK,100029,Generator Accessories 650-091 PCB,LKR,0.00,0.00,0.00,3/30/2011,5/10/2011,LK10,1000007736,"42,997.50",1,V4,EA,5,0,5,004,,,
4100000000,30,MK,100029,ENGINE INTERFACE MODULE 630 088 – 630,LKR,0.00,0.00,0.00,3/30/2011,5/10/2011,LK10,1000007694,"9,158.10",1,V4,EA,10,0,10,004,,,
4100000000,40,MK,100029,Generator Accessories 7.5 kVA Radiator,LKR,0.00,0.00,0.00,3/30/2011,5/10/2011,LK10,1000007876,"48,000.00",1,V4,EA,2,0,2,004,,,
4100000001,10,MK,100077,Out Door Cabinet with Rectifier (H&S),USD,0.00,0.00,0.00,1/20/2010,1/20/2011,LK10,1000008613,"1,645.00",1,V4,EA,80,0,80,001,,,L
4100000001,20,MK,100077,"Rectifier Module -H&S,SMi2000HD",USD,0.00,0.00,0.00,1/20/2010,1/20/2011,LK10,1000008612,200.00,1,V4,EA,80,0,80,001,,,L
4100000001,30,MK,100077,Battery Bank -Narada 12NDF100,USD,0.00,0.00,0.00,1/20/2010,1/20/2011,LK10,1000007631,480.00,1,V4,EA,80,0,80,001,,,L
4100000001,40,MK,100077,Standard Tool kits (02nos),USD,0.00,0.00,0.00,1/20/2010,1/20/2011,LK10,1000010561,0.01,1,V4,EA,80,0,80,001,,,L
4100000002,10,MK,100157,FCS-AirsysFCB-Inlet/Outlet,USD,0.00,0.00,0.00,4/20/2010,2/25/2011,LK10,1000006320,755.00,1,V4,EA,150,0,150,001,,,
4100000002,20,MK,100157,FCS-AirsysFCB-Controller,USD,0.00,0.00,0.00,4/20/2010,2/25/2011,LK10,1000006319,245.00,1,V4,EA,150,0,150,001,,,
